po_/_so_#,country,sub_classification,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,first_line_designation,freight_cost_(usd),shipment_mode,days_to_process
0,673,1,60,25000,187500.0,7.5,0.12,1,21439.59,0,-647
0,1107,2,40,375,28500.0,76.0,1.9,1,4445.75,0,-794
0,181,2,100,4650,372000.0,80.0,0.8,1,24859.45,0,-868
0,1064,5,60,1577,14981.5,9.5,0.16,1,0.0,0,-587
0,1107,2,100,3500,280000.0,80.0,0.8,1,5858.57,0,-633
0,1064,5,60,4270,40565.0,9.5,0.16,0,0.0,0,-608
0,673,5,240,1000,1920.0,1.92,0.01,1,13762.41,0,-608
0,673,5,240,1000,2100.0,2.1,0.01,0,3549.77,0,-608
0,673,5,240,1000,2100.0,2.1,0.01,0,3549.77,0,-595
0,673,1,60,3000,40500.0,13.5,0.22,1,4454.62,0,-595
0,673,1,30,22500,277425.0,12.33,0.41,1,16095.39,0,-556
0,673,1,120,500,41095.0,82.19,0.68,1,1767.38,0,-644
0,494,2,25,10000,200000.0,20.0,0.8,1,25165.3,0,-621
0,403,1,30,1609,27353.0,17.0,0.57,1,7922.24,0,-490
0,1402,5,300,30,1447.8,48.26,0.16,0,0.0,0,-489
0,1402,1,30,100,2850.0,28.5,0.95,0,0.0,0,-489
0,1107,2,20,10000,270000.0,27.0,1.35,1,28002.75,0,-497
0,403,1,60,1099,30222.5,27.5,0.46,1,1511.25,0,-490
0,673,1,60,1200,2100.0,1.75,0.03,1,2429.85,0,-486
0,1107,2,100,650,51993.5,79.99,0.8,1,2577.27,0,-482
0,1402,1,60,100,573.0,5.73,0.1,0,0.0,0,-514
0,44,2,20,450,14400.0,32.0,1.6,1,2496.62,0,-333
0,1107,2,20,10270,277290.0,27.0,1.35,1,18864.37,0,-320
0,588,2,20,9000,288000.0,32.0,1.6,1,55746.59,0,-431
0,648,2,20,6040,193280.0,32.0,1.6,1,24689.0,0,-383
0,648,3,100,4300,43.0,0.01,0.0,1,0.0,0,-367
0,1064,2,20,289,7803.0,27.0,1.35,1,1104.69,0,-89
0,588,2,100,3000,215970.0,71.99,0.72,1,5298.9,0,-332
0,1064,3,100,70,0.7,0.01,0.0,1,0.0,0,-423
0,1064,2,100,1116,78120.0,70.0,0.7,1,5175.72,0,-314
0,1064,2,100,1116,78120.0,70.0,0.7,1,7118.12,0,-164
0,237,2,20,832,26624.0,32.0,1.6,1,3740.04,0,-391
0,237,2,100,213,15333.87,71.99,0.72,1,959.46,0,-308
